#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"
134000	-788.2088232347594	262.875853760665	1.49e+03	38.62200570106506
135000	-763.3630543071922	257.4176516511553	1.49e+03	38.90647602081299
136000	-771.0254297105606	259.5637738061706	1.49e+03	39.19192671775818
137000	-741.0775112436129	242.22616650678322	1.49e+03	39.47641682624817
138000	-738.2160167008667	238.87373470126533	1.49e+03	39.7655713558197
139000	-766.2221067171986	262.7251074881518	1.49e+03	40.05270528793335
140000	-730.2897777364691	243.29021854248904	1.49e+03	40.340131521224976
141000	-778.8089187974645	286.9081151340562	1.49e+03	40.62855839729309
142000	-800.5134823050396	308.72324433660737	1.49e+03	40.91790008544922
143000	-791.3851433699535	300.82330304397976	1.49e+03	41.207722187042236
144000	-736.694875952388	260.79215324787936	1.49e+03	41.49821424484253
145000	-743.7002653963518	279.47905672777875	1.49e+03	41.788355350494385
146000	-748.0163268214626	279.7101261168126	1.49e+03	42.077855348587036
147000	-719.6848163406416	258.2191930917592	1.49e+03	42.36790442466736
148000	-743.3417868910198	277.3738525252597	1.49e+03	42.65886306762695
149000	-734.8848532160234	278.1692166958032	1.49e+03	42.95260977745056
150000	-745.5323287138542	283.06789075673277	1.49e+03	43.24209642410278
151000	-737.1007854556333	297.1954599674654	1.49e+03	43.53116297721863
152000	-745.4471099134385	312.4234123104529	1.49e+03	43.82268023490906
153000	-737.6156099923326	287.66080591356973	1.49e+03	44.1119179725647
154000	-734.6282973249541	280.97333900399303	1.49e+03	44.39556527137756
155000	-748.3996479575944	288.2044860909668	1.49e+03	44.68019676208496
156000	-763.5549564736979	299.55986011377496	1.49e+03	44.96565842628479
157000	-734.5990739917223	279.93896182164224	1.49e+03	45.25294327735901
158000	-737.2566901974867	277.5141737840494	1.49e+03	45.54023623466492
159000	-743.339882851415	283.8455163463221	1.49e+03	45.82817554473877
160000	-739.1463455951541	291.94899138277475	1.49e+03	46.11783719062805
161000	-736.9111570923202	305.66141800865336	1.49e+03	46.406585454940796
162000	-699.0751064178074	285.23801942569116	1.49e+03	46.69982433319092
163000	-729.3678107188385	306.7328717142553	1.49e+03	46.992878437042236
164000	-681.1059506132651	291.72570715667854	1.49e+03	47.284371852874756
165000	-744.6141930771377	358.5915174127624	1.49e+03	47.57614517211914
166000	-732.2599771804146	356.5728823853245	1.49e+03	47.8685564994812
167000	-716.6250758051989	340.50665221060257	1.49e+03	48.15852332115173
168000	-668.971423360519	300.0058040568094	1.49e+03	48.44740319252014
169000	-691.5351681296919	301.1287523701685	1.49e+03	48.73605418205261
170000	-695.1326238588309	302.7060294631268	1.49e+03	49.02816963195801
171000	-709.1644739803558	327.1254647289171	1.49e+03	49.318121671676636
172000	-670.6285325623858	302.85435453478823	1.49e+03	49.606839179992676
173000	-681.0026742568828	285.521198472961	1.49e+03	49.89436483383179
174000	-676.9043766492043	286.52357146939516	1.49e+03	50.18267512321472
175000	-720.1091794038239	307.79687344121436	1.49e+03	50.46966528892517
176000	-719.4966758116509	300.6491224593218	1.49e+03	50.75770282745361
177000	-708.4950025443843	297.31450348243686	1.49e+03	51.04854989051819
178000	-740.3594046302053	299.2586894708282	1.49e+03	51.33828663825989
179000	-743.5011725234203	299.1781841505066	1.49e+03	51.62868332862854
180000	-690.1716790261438	240.51179961912138	1.49e+03	51.91926336288452
181000	-739.9510372391557	275.45692230007455	1.49e+03	52.208545207977295
182000	-760.8181481115337	297.45242642679085	1.49e+03	52.49939227104187
183000	-771.9217821209409	287.5504970168794	1.49e+03	52.789082527160645
184000	-759.6094660988888	273.90689344873493	1.49e+03	53.07866406440735
185000	-801.1985699364603	295.3301498526352	1.49e+03	53.36960768699646
186000	-720.2030365253003	240.2284372914714	1.49e+03	53.65952825546265
187000	-787.1611586624934	294.2003348719653	1.49e+03	53.950440883636475
188000	-771.8895596009472	281.95104475743835	1.49e+03	54.2399480342865
189000	-776.2898717078037	289.2383092792048	1.49e+03	54.5297064781189
190000	-726.0420963767752	260.4058691011924	1.49e+03	54.819979667663574
191000	-732.878437502445	274.9196997909665	1.49e+03	55.10786318778992
192000	-727.9585034612184	273.4394895878497	1.49e+03	55.39523983001709
193000	-748.6650850622224	296.3695835633835	1.49e+03	55.67920684814453
194000	-711.5289022291855	264.25384316129384	1.49e+03	55.9649453163147
195000	-717.785576225045	272.0707211345727	1.49e+03	56.25165867805481
196000	-765.1818516378308	291.4689495279118	1.49e+03	56.53927397727966
197000	-750.8246489997236	286.34229742145135	1.49e+03	56.82732391357422
198000	-775.993144525576	299.8415656372622	1.49e+03	57.11533784866333
199000	-760.1311604183384	292.5438078615696	1.49e+03	57.40540623664856
200000	-751.3313960920345	266.03805963274266	1.49e+03	57.69670605659485
201000	-710.6059738043559	230.63584906804152	1.49e+03	57.988614559173584
202000	-720.167443141386	248.64104434380593	1.49e+03	58.28092622756958
203000	-776.739601789721	312.93921905690576	1.49e+03	58.571189403533936
204000	-726.2199141466817	262.1025168427437	1.49e+03	58.862762689590454
205000	-745.1845528539923	278.6465163186743	1.49e+03	59.153658866882324
